"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 07 11:01:52 UTC 2025","Tue Oct 07 11:01:53 UTC 2025","267","","com.fakeRestApi.tests.book.UpdateBooksTests","","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateNonExistentBookShouldReturn404","checkUpdateNonExistentBookShouldReturn404()","Verify updating a non-existent book returns 404 Not Found"
"failed","Tue Oct 07 11:01:31 UTC 2025","Tue Oct 07 11:01:31 UTC 2025","271","","com.fakeRestApi.tests.author.UpdateAuthorsTests","","com.fakeRestApi.tests.author.UpdateAuthorsTests","shouldReturn404WhenUpdatingNonExistingAuthor","shouldReturn404WhenUpdatingNonExistingAuthor()","PUT /Authors/{id} should return 404 when author does not exist"
"passed","Tue Oct 07 11:01:41 UTC 2025","Tue Oct 07 11:01:41 UTC 2025","304","","com.fakeRestApi.tests.book.DeleteBooksTests","","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturn400","checkDeleteInvalidBookIdShouldReturn400(String) DELETE /Books/! should return 400 Bad Request","Verify that invalid book IDs return 400 Bad Request"
"passed","Tue Oct 07 11:01:47 UTC 2025","Tue Oct 07 11:01:47 UTC 2025","26","","com.fakeRestApi.tests.book.GetBooksApiTests","","com.fakeRestApi.tests.book.GetBooksApiTests","checkBooksPublishDateIsChronologicallyDecreasing","checkBooksPublishDateIsChronologicallyDecreasing()","Verify that each next book has an earlier publish date than the previous one (newest to oldest order)"
"passed","Tue Oct 07 11:01:33 UTC 2025","Tue Oct 07 11:01:33 UTC 2025","274","","com.fakeRestApi.tests.author.UpdateAuthorsTests","","com.fakeRestApi.tests.author.UpdateAuthorsTests","shouldReturn400WhenPathIsNonNumeric","shouldReturn400WhenPathIsNonNumeric()","PUT /Authors/{id} with non-numeric path should return 400"
"passed","Tue Oct 07 11:01:50 UTC 2025","Tue Oct 07 11:01:52 UTC 2025","1612","","com.fakeRestApi.tests.book.UpdateBooksTests","","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateBookSingleFieldsIndividually","checkUpdateBookSingleFieldsIndividually()","Verify updating each single field one by one (title, description, pageCount, excerpt, publishDate)"
"passed","Tue Oct 07 11:01:36 UTC 2025","Tue Oct 07 11:01:37 UTC 2025","310","","com.fakeRestApi.tests.book.CreateBooksTests","","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithEmptyFields","checkUserCanCreateBookWithEmptyFields()","Verify that creating a book with empty all fields returns 400 Bad Request"
"passed","Tue Oct 07 11:01:10 UTC 2025","Tue Oct 07 11:01:13 UTC 2025","2917","","com.fakeRestApi.tests.author.CreateAuthorsTests","","com.fakeRestApi.tests.author.CreateAuthorsTests","checkUserCanCreateAuthorWithAllFields","checkUserCanCreateAuthorWithAllFields()","Verify that user can create an author with all required valid fields"
"passed","Tue Oct 07 11:01:25 UTC 2025","Tue Oct 07 11:01:26 UTC 2025","302","","com.fakeRestApi.tests.author.GetAuthorsTests","","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithNonexistentIdShouldReturn404","checkGetAuthorWithNonexistentIdShouldReturn404(String) GET /Authors/0 → should return 404 Not Found","Verify GET /Authors/{id} returns 404 Not Found for nonexistent IDs"
"passed","Tue Oct 07 11:01:49 UTC 2025","Tue Oct 07 11:01:50 UTC 2025","568","","com.fakeRestApi.tests.book.GetBooksApiTests","","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookByRandomIdShouldReturnValidBookById","checkGetBookByRandomIdShouldReturnValidBookById()","Verify GET /Books/{id} returns the correct book when using a valid random ID"
"passed","Tue Oct 07 11:01:47 UTC 2025","Tue Oct 07 11:01:47 UTC 2025","615","","com.fakeRestApi.tests.book.GetBooksApiTests","","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithNonexistentIdShouldReturnNotFound","checkGetBookWithNonexistentIdShouldReturnNotFound(String) GET /Books/0 should return 404 Not Found","Verify GET /Books/{id} returns 404 Not Found for nonexistent or invalid numeric IDs"
"passed","Tue Oct 07 11:01:53 UTC 2025","Tue Oct 07 11:01:53 UTC 2025","529","","com.fakeRestApi.tests.book.UpdateBooksTests","","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateExistingBookShouldReturn200","checkUpdateExistingBookShouldReturn200()","Verify updating an existing book successfully changes its fields and returns 200 OK"
"passed","Tue Oct 07 11:01:27 UTC 2025","Tue Oct 07 11:01:28 UTC 2025","896","","com.fakeRestApi.tests.author.UpdateAuthorsTests","","com.fakeRestApi.tests.author.UpdateAuthorsTests","shouldUpdateExistingAuthor","shouldUpdateExistingAuthor()","Verify PUT /Authors/{id} updates an existing author successfully"
"passed","Tue Oct 07 11:01:39 UTC 2025","Tue Oct 07 11:01:41 UTC 2025","1655","","com.fakeRestApi.tests.book.DeleteBooksTests","","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteExistingBookShouldReturnOkAndBookShouldBeGone","checkDeleteExistingBookShouldReturnOkAndBookShouldBeGone()","Verify that deleting an existing book returns 204 No Content and subsequent GET returns 404 Not Found"
"passed","Tue Oct 07 11:01:26 UTC 2025","Tue Oct 07 11:01:26 UTC 2025","305","","com.fakeRestApi.tests.author.GetAuthorsTests","","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithNonexistentIdShouldReturn404","checkGetAuthorWithNonexistentIdShouldReturn404(String) GET /Authors/-5 → should return 404 Not Found","Verify GET /Authors/{id} returns 404 Not Found for nonexistent IDs"
"passed","Tue Oct 07 11:01:48 UTC 2025","Tue Oct 07 11:01:48 UTC 2025","475","","com.fakeRestApi.tests.book.GetBooksApiTests","","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithNonexistentIdShouldReturnNotFound","checkGetBookWithNonexistentIdShouldReturnNotFound(String) GET /Books/-5 should return 404 Not Found","Verify GET /Books/{id} returns 404 Not Found for nonexistent or invalid numeric IDs"
"passed","Tue Oct 07 11:01:13 UTC 2025","Tue Oct 07 11:01:14 UTC 2025","317","","com.fakeRestApi.tests.author.CreateAuthorsTests","","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithSpecialCharacters","checkCreateAuthorWithSpecialCharacters()","Verify that creating author with special characters in names is accepted"
"passed","Tue Oct 07 11:01:45 UTC 2025","Tue Oct 07 11:01:46 UTC 2025","290","","com.fakeRestApi.tests.book.GetBooksApiTests","","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/abc should return 400 Bad Request","Verify GET /Books/{id} returns 400 Bad Request when ID is invalid"
"failed","Tue Oct 07 11:01:14 UTC 2025","Tue Oct 07 11:01:14 UTC 2025","387","","com.fakeRestApi.tests.author.CreateAuthorsTests","","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithNullFieldsShouldReturnBadRequest","checkCreateAuthorWithNullFieldsShouldReturnBadRequest()","Verify that creating an author with null fields returns 400 Bad Request"
"passed","Tue Oct 07 11:01:23 UTC 2025","Tue Oct 07 11:01:23 UTC 2025","573","","com.fakeRestApi.tests.author.GetAuthorsTests","","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAllAuthorsShouldReturnValidList","checkGetAllAuthorsShouldReturnValidList()","Verify GET /Authors returns non-empty list and all fields are valid"
"failed","Tue Oct 07 11:01:18 UTC 2025","Tue Oct 07 11:01:18 UTC 2025","862","","com.fakeRestApi.tests.author.DeleteAuthorsTests","","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone()","Verify that deleting an existing author returns 200 OK and subsequent GET returns 404 Not Found"
"passed","Tue Oct 07 11:01:25 UTC 2025","Tue Oct 07 11:01:25 UTC 2025","293","","com.fakeRestApi.tests.author.GetAuthorsTests","","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorByIdShouldReturnCorrectAuthor","checkGetAuthorByIdShouldReturnCorrectAuthor()","Verify GET /Authors/{id} returns correct author by valid ID"
